game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc
822786,2026-07-19,Chicago White Sox @ Toronto Blue Jays,away,Sean Burke,R,Toronto Blue Jays,9,4,4,1,5,0,174,False,True,0.715,0.717,0.673,0.678,0.676,-0.045,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
822786,2026-07-19,Chicago White Sox @ Toronto Blue Jays,home,Trey Yesavage,R,Chicago White Sox,9,5,3,1,6,1,143,False,True,0.815,0.805,0.639,0.66,0.719,-0.002,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
823113,2026-07-19,San Francisco Giants @ Seattle Mariners,away,Robbie Ray,L,Seattle Mariners,9,4,4,1,5,0,116,False,True,0.671,0.682,0.671,0.676,0.655,-0.066,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
823113,2026-07-19,San Francisco Giants @ Seattle Mariners,home,Logan Gilbert,R,San Francisco Giants,9,6,3,0,6,1,195,False,True,0.8,0.792,0.642,0.658,0.717,-0.004,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
823439,2026-07-19,New York Mets @ Philadelphia Phillies,away,Nolan McLean,R,Philadelphia Phillies,9,5,4,0,5,0,190,False,True,0.76,0.759,0.634,0.646,0.676,-0.045,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
823439,2026-07-19,New York Mets @ Philadelphia Phillies,home,Alan Rangel,R,New York Mets,9,5,3,1,6,0,37,True,False,0.725,0.728,0.78,0.772,0.768,0.047,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
823521,2026-07-19,Los Angeles Dodgers @ New York Yankees,away,Will Klein,R,New York Yankees,9,6,3,0,6,0,79,False,True,0.753,0.754,0.664,0.689,0.705,-0.016,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
823523,2026-07-19,Los Angeles Dodgers @ New York Yankees,away,Yoshinobu Yamamoto,R,New York Yankees,9,5,3,1,6,1,222,False,True,0.776,0.78,0.557,0.588,0.616,-0.105,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
823523,2026-07-19,Los Angeles Dodgers @ New York Yankees,home,Cam Schlittler,R,Los Angeles Dodgers,9,5,4,0,5,0,194,False,True,0.803,0.799,0.587,0.608,0.665,-0.056,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
823764,2026-07-19,Miami Marlins @ Milwaukee Brewers,away,Eury Pérez,R,Milwaukee Brewers,9,5,4,0,5,0,149,False,True,0.809,0.801,0.686,0.687,0.756,0.035,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
823764,2026-07-19,Miami Marlins @ Milwaukee Brewers,home,Robert Gasser,L,Miami Marlins,9,4,4,1,5,1,63,False,True,0.719,0.726,0.806,0.762,0.78,0.059,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
824007,2026-07-19,Detroit Tigers @ Los Angeles Angels,away,Casey Mize,R,Los Angeles Angels,9,2,6,1,3,0,130,False,True,0.703,0.706,0.687,0.652,0.654,-0.067,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
824007,2026-07-19,Detroit Tigers @ Los Angeles Angels,home,Ryan Johnson,R,Detroit Tigers,9,5,4,0,5,0,63,False,True,0.757,0.762,0.854,0.81,0.846,0.125,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
824086,2026-07-19,San Diego Padres @ Kansas City Royals,away,Germán Márquez,R,Kansas City Royals,9,3,5,1,4,3,75,False,True,0.712,0.712,0.861,0.824,0.808,0.087,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
824086,2026-07-19,San Diego Padres @ Kansas City Royals,home,Noah Cameron,L,San Diego Padres,9,1,7,1,8,2,108,False,True,0.7,0.704,0.774,0.769,0.751,0.03,xw+plat_consol_v3,2026-07-19T20:20:17.095087+00:00
