game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,model_tag,snapshot_utc,scheduled_start_utc
822788,2026-07-20,2026-07-20T23:07:00Z,Tampa Bay Rays @ Toronto Blue Jays,away,Nick Martinez,Toronto Blue Jays,9,0.333,0.303,0.317,0.318,0.001,0.281,0.247,0.244,0.284,0.04,0.444,0.375,0.4,0.416,0.016,33.4,34.451,39.393,29.21,-10.183,87.1,87.686,88.946,85.84,-3.106,16.1,13.78,13.93,15.95,2.02,14.5,18.398,22.144,12.047,-10.097,4.4,7.622,8.98,3.735,-5.245,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:07:00Z
822788,2026-07-20,2026-07-20T23:07:00Z,Tampa Bay Rays @ Toronto Blue Jays,home,Dylan Cease,Tampa Bay Rays,9,0.264,0.308,0.317,0.257,-0.06,0.194,0.246,0.244,0.196,-0.048,0.283,0.367,0.4,0.26,-0.14,33.0,34.512,39.393,28.911,-10.482,85.7,88.087,88.946,84.841,-4.105,12.5,11.367,13.93,9.937,-3.993,36.9,17.66,22.144,29.428,7.284,11.0,9.27,8.98,11.355,2.375,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:07:00Z
822874,2026-07-20,2026-07-21T00:05:00Z,Chicago White Sox @ Texas Rangers,away,Erick Fedde,Texas Rangers,9,0.331,0.324,0.317,0.338,0.021,0.261,0.251,0.244,0.268,0.024,0.423,0.403,0.4,0.426,0.026,39.3,42.032,39.393,41.933,2.54,88.7,89.551,88.946,89.305,0.359,14.9,13.29,13.93,14.26,0.33,15.4,21.778,22.144,15.145,-6.999,9.0,8.894,8.98,8.914,-0.066,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T00:05:00Z
822874,2026-07-20,2026-07-21T00:05:00Z,Chicago White Sox @ Texas Rangers,home,Jacob deGrom,Chicago White Sox,9,0.289,0.335,0.317,0.305,-0.012,0.231,0.255,0.244,0.241,-0.003,0.396,0.434,0.4,0.43,0.03,44.0,42.676,39.393,47.667,8.274,90.7,89.457,88.946,91.211,2.265,15.9,14.045,13.93,16.015,2.085,30.4,22.629,22.144,31.066,8.922,5.5,8.894,8.98,5.447,-3.533,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T00:05:00Z
823112,2026-07-20,2026-07-21T01:40:00Z,Cincinnati Reds @ Seattle Mariners,away,Andrew Abbott,Seattle Mariners,9,0.335,0.326,0.317,0.345,0.028,0.259,0.247,0.244,0.262,0.018,0.426,0.416,0.4,0.443,0.043,38.8,39.636,39.393,39.039,-0.354,89.7,89.242,88.946,89.996,1.05,16.3,13.66,13.93,16.03,2.1,18.4,23.126,22.144,19.216,-2.928,10.5,8.794,8.98,10.283,1.303,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T01:40:00Z
823112,2026-07-20,2026-07-21T01:40:00Z,Cincinnati Reds @ Seattle Mariners,home,George Kirby,Cincinnati Reds,9,0.305,0.333,0.317,0.32,0.003,0.26,0.243,0.244,0.259,0.015,0.395,0.427,0.4,0.422,0.022,42.5,39.848,39.393,42.991,3.598,89.6,90.005,88.946,90.659,1.713,10.5,17.125,13.93,13.695,-0.235,21.5,25.15,22.144,24.419,2.275,5.3,10.597,8.98,6.254,-2.726,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T01:40:00Z
823436,2026-07-20,2026-07-20T23:10:00Z,Los Angeles Dodgers @ Philadelphia Phillies,away,Emmet Sheehan,Philadelphia Phillies,9,0.306,0.325,0.317,0.314,-0.003,0.23,0.257,0.244,0.242,-0.002,0.399,0.418,0.4,0.417,0.017,39.4,42.114,39.393,42.121,2.728,89.4,89.533,88.946,89.987,1.041,20.9,11.876,13.93,18.846,4.916,26.6,22.154,22.144,26.612,4.468,7.4,8.008,8.98,6.599,-2.381,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:10:00Z
823436,2026-07-20,2026-07-20T23:10:00Z,Los Angeles Dodgers @ Philadelphia Phillies,home,Cristopher Sánchez,Los Angeles Dodgers,9,0.279,0.345,0.317,0.304,-0.013,0.231,0.261,0.244,0.247,0.003,0.368,0.444,0.4,0.408,0.008,43.8,43.327,39.393,48.174,8.781,89.4,90.018,88.946,90.472,1.526,2.8,15.311,13.93,4.181,-9.749,27.4,21.939,22.144,27.146,5.002,4.8,10.745,8.98,5.743,-3.237,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:10:00Z
823522,2026-07-20,2026-07-20T23:05:00Z,Pittsburgh Pirates @ New York Yankees,away,Braxton Ashcraft,New York Yankees,9,0.283,0.321,0.317,0.287,-0.03,0.225,0.242,0.244,0.223,-0.021,0.356,0.415,0.4,0.369,-0.031,41.0,40.993,39.393,42.665,3.272,90.3,89.295,88.946,90.649,1.703,13.3,15.379,13.93,14.749,0.819,27.8,23.616,22.144,29.648,7.504,5.9,9.725,8.98,6.389,-2.591,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:05:00Z
823522,2026-07-20,2026-07-20T23:05:00Z,Pittsburgh Pirates @ New York Yankees,home,Ryan Weathers,Pittsburgh Pirates,9,0.324,0.321,0.317,0.328,0.011,0.253,0.243,0.244,0.252,0.008,0.439,0.405,0.4,0.444,0.044,41.5,41.208,39.393,43.412,4.019,89.6,89.038,88.946,89.692,0.746,10.8,12.197,13.93,9.067,-4.863,26.9,24.173,22.144,29.365,7.221,6.6,9.064,8.98,6.662,-2.318,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:05:00Z
823762,2026-07-20,2026-07-20T23:40:00Z,New York Mets @ Milwaukee Brewers,away,Freddy Peralta,Milwaukee Brewers,9,0.303,0.338,0.317,0.323,0.006,0.233,0.252,0.244,0.241,-0.003,0.363,0.426,0.4,0.387,-0.013,39.0,43.663,39.393,43.227,3.834,87.8,90.484,88.946,89.338,0.392,15.8,9.139,13.93,11.009,-2.921,22.3,22.202,22.144,22.358,0.214,9.4,11.713,8.98,12.261,3.281,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:40:00Z
823762,2026-07-20,2026-07-20T23:40:00Z,New York Mets @ Milwaukee Brewers,home,Jacob Misiorowski,New York Mets,9,0.224,0.335,0.317,0.237,-0.08,0.171,0.262,0.244,0.184,-0.06,0.248,0.436,0.4,0.27,-0.13,34.1,42.11,39.393,36.452,-2.941,87.3,89.65,88.946,88.004,-0.942,11.5,11.959,13.93,9.529,-4.401,39.6,21.047,22.144,37.638,15.494,6.4,8.885,8.98,6.332,-2.648,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:40:00Z
824006,2026-07-20,2026-07-21T02:10:00Z,St. Louis Cardinals @ Los Angeles Angels,away,Kyle Leahy,Los Angeles Angels,9,0.353,0.317,0.317,0.353,0.036,0.275,0.239,0.244,0.269,0.025,0.466,0.409,0.4,0.476,0.076,50.4,39.877,39.393,51.019,11.626,91.9,88.647,88.946,91.601,2.655,9.4,15.82,13.93,11.29,-2.64,19.3,24.646,22.144,21.481,-0.663,8.5,8.371,8.98,7.924,-1.056,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T02:10:00Z
