game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,opener,model_tag,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home
822784,2026-07-22,2026-07-22T23:07:00Z,Tampa Bay Rays @ Toronto Blue Jays,away,Griffin Jax,Toronto Blue Jays,9,0.332,0.307,0.317,0.322,0.005,0.274,0.243,0.244,0.273,0.029,0.461,0.351,0.4,0.405,0.005,41.1,37.7,39.409,39.318,-0.091,89.1,88.121,88.956,88.265,-0.691,10.9,13.081,13.939,10.042,-3.897,24.7,18.402,22.154,20.517,-1.637,8.3,6.788,8.958,6.289,-2.669,False,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-22T23:07:00Z,posted,posted,9,9
822784,2026-07-22,2026-07-22T23:07:00Z,Tampa Bay Rays @ Toronto Blue Jays,home,Braydon Fisher,Tampa Bay Rays,9,0.297,0.317,0.317,0.297,-0.02,0.227,0.243,0.244,0.226,-0.018,0.359,0.38,0.4,0.341,-0.059,36.617,35.225,39.409,32.729,-6.68,87.598,88.717,88.956,87.359,-1.597,11.719,14.297,13.939,12.077,-1.862,25.66,19.817,22.154,22.953,0.799,8.891,10.213,8.958,10.137,1.179,True,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-22T23:07:00Z,posted,posted,9,9
822873,2026-07-22,2026-07-23T00:05:00Z,Chicago White Sox @ Texas Rangers,away,Anthony Kay,Texas Rangers,9,0.335,0.317,0.317,0.335,0.018,0.267,0.252,0.244,0.276,0.032,0.418,0.388,0.4,0.405,0.005,39.7,35.686,39.409,35.95,-3.459,88.8,88.028,88.956,87.872,-1.084,12.9,12.043,13.939,11.004,-2.935,18.0,20.462,22.154,16.625,-5.529,9.0,6.828,8.958,6.86,-2.098,False,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-23T00:05:00Z,posted,posted,9,9
822873,2026-07-22,2026-07-23T00:05:00Z,Chicago White Sox @ Texas Rangers,home,Tyler Alexander,Chicago White Sox,9,0.307,0.325,0.317,0.315,-0.002,0.243,0.246,0.244,0.245,0.001,0.396,0.418,0.4,0.414,0.014,40.535,42.101,39.409,43.304,3.895,88.812,89.659,88.956,89.515,0.559,14.325,13.949,13.939,14.335,0.396,23.749,22.922,22.154,24.572,2.418,6.964,9.727,8.958,7.562,-1.396,True,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-23T00:05:00Z,posted,posted,9,9
823110,2026-07-22,2026-07-22T19:40:00Z,Cincinnati Reds @ Seattle Mariners,away,Brady Singer,Seattle Mariners,9,0.333,0.321,0.317,0.338,0.021,0.267,0.24,0.244,0.263,0.019,0.464,0.407,0.4,0.472,0.072,41.7,39.305,39.409,41.59,2.181,90.8,89.164,88.956,91.008,2.052,14.0,14.441,13.939,14.502,0.563,19.2,23.984,22.154,20.786,-1.368,7.2,8.175,8.958,6.571,-2.387,False,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-22T19:40:00Z,posted,posted,9,9
823110,2026-07-22,2026-07-22T19:40:00Z,Cincinnati Reds @ Seattle Mariners,home,Emerson Hancock,Cincinnati Reds,9,0.319,0.332,0.317,0.334,0.017,0.251,0.262,0.244,0.27,0.026,0.432,0.447,0.4,0.483,0.083,43.8,40.434,39.409,44.939,5.53,90.0,90.249,88.956,91.293,2.337,13.5,16.216,13.939,15.777,1.838,24.1,22.849,22.154,24.856,2.702,6.4,9.793,8.958,6.997,-1.961,False,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-22T19:40:00Z,posted,posted,9,9
823438,2026-07-22,2026-07-22T22:40:00Z,Los Angeles Dodgers @ Philadelphia Phillies,away,Eric Lauer,Philadelphia Phillies,9,0.328,0.321,0.317,0.332,0.015,0.256,0.249,0.244,0.261,0.017,0.47,0.416,0.4,0.489,0.089,35.5,40.395,39.409,36.388,-3.021,88.0,89.314,88.956,88.358,-0.598,21.6,14.589,13.939,22.25,8.311,14.5,23.479,22.154,15.367,-6.787,8.3,7.485,8.958,6.935,-2.023,False,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-22T22:40:00Z,posted,partial_filled,9,8
823438,2026-07-22,2026-07-22T22:40:00Z,Los Angeles Dodgers @ Philadelphia Phillies,home,Aaron Nola,Los Angeles Dodgers,9,0.316,0.338,0.317,0.337,0.02,0.244,0.273,0.244,0.273,0.029,0.423,0.46,0.4,0.486,0.086,39.6,43.699,39.409,43.911,4.502,88.4,90.245,88.956,89.689,0.733,14.2,15.299,13.939,15.56,1.621,23.9,20.816,22.154,22.457,0.303,7.7,10.576,8.958,9.091,0.133,False,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-22T22:40:00Z,posted,partial_filled,9,8
823518,2026-07-22,2026-07-22T17:05:00Z,Pittsburgh Pirates @ New York Yankees,away,Mitch Keller,New York Yankees,9,0.336,0.32,0.317,0.34,0.023,0.289,0.249,0.244,0.295,0.051,0.454,0.401,0.4,0.455,0.055,42.6,40.006,39.409,43.245,3.836,89.3,89.306,88.956,89.65,0.694,13.8,15.929,13.939,15.79,1.851,17.4,24.524,22.154,19.261,-2.893,7.9,8.688,8.958,7.662,-1.296,False,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-22T17:05:00Z,posted,posted,9,9
823518,2026-07-22,2026-07-22T17:05:00Z,Pittsburgh Pirates @ New York Yankees,home,Gerrit Cole,Pittsburgh Pirates,9,0.308,0.323,0.317,0.314,-0.003,0.238,0.261,0.244,0.255,0.011,0.389,0.454,0.4,0.442,0.042,41.8,41.02,39.409,43.509,4.1,89.9,89.213,88.956,90.157,1.201,19.7,13.23,13.939,18.991,5.052,23.9,22.322,22.154,24.081,1.927,5.2,10.698,8.958,6.21,-2.748,False,xw+plat_consol_v5,2026-07-22T23:44:56.076584+00:00,2026-07-22T17:05:00Z,posted,posted,9,9
