game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,opener,opener_reason,opener_confidence,pitching_basis,model_tag,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home
822785,2026-07-23,2026-07-23T19:07:00Z,Tampa Bay Rays @ Toronto Blue Jays,away,Casey Legumina,Toronto Blue Jays,9,0.313,0.312,0.317,0.308,-0.009,0.249,0.239,0.244,0.244,-0.0,0.407,0.368,0.399,0.375,-0.024,37.695,36.964,39.408,35.357,-4.051,88.176,88.071,88.944,87.303,-1.641,13.411,15.399,13.949,14.861,0.912,22.612,18.542,22.155,18.924,-3.231,6.999,8.988,8.943,7.034,-1.909,True,repeated_short_starts,high,team_staff,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T19:07:00Z,posted,posted,9,9
822785,2026-07-23,2026-07-23T19:07:00Z,Tampa Bay Rays @ Toronto Blue Jays,home,Shane Bieber,Tampa Bay Rays,9,0.342,0.321,0.317,0.346,0.029,0.324,0.258,0.244,0.343,0.099,0.601,0.394,0.399,0.593,0.194,53.2,36.323,39.408,49.035,9.627,91.7,88.527,88.944,91.283,2.339,10.6,11.311,13.949,7.962,-5.987,17.6,19.204,22.155,15.256,-6.899,11.1,9.532,8.943,11.831,2.888,False,,,probable_starter,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T19:07:00Z,posted,posted,9,9
823042,2026-07-23,2026-07-23T21:15:00Z,Arizona Diamondbacks @ St. Louis Cardinals,away,Brandon Pfaadt,St. Louis Cardinals,9,0.317,0.325,0.317,0.325,0.008,0.247,0.257,0.244,0.26,0.016,0.411,0.421,0.399,0.434,0.035,37.2,43.387,39.408,40.956,1.548,88.6,89.909,88.944,89.565,0.621,10.4,12.238,13.949,8.689,-5.26,17.3,20.021,22.155,15.634,-6.521,7.1,8.225,8.943,6.53,-2.413,False,,,probable_starter,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T21:15:00Z,posted,posted,9,9
823042,2026-07-23,2026-07-23T21:15:00Z,Arizona Diamondbacks @ St. Louis Cardinals,home,Michael McGreevy,Arizona Diamondbacks,9,0.336,0.322,0.317,0.341,0.024,0.285,0.251,0.244,0.293,0.049,0.49,0.407,0.399,0.5,0.101,41.3,40.033,39.408,41.955,2.547,90.2,89.11,88.944,90.366,1.422,10.1,13.981,13.949,10.132,-3.817,16.6,20.126,22.155,15.08,-7.075,5.6,9.029,8.943,5.654,-3.289,False,,,probable_starter,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T21:15:00Z,posted,posted,9,9
824247,2026-07-23,2026-07-23T22:40:00Z,Kansas City Royals @ Detroit Tigers,away,Randy Dobnak,Detroit Tigers,9,0.323,0.325,0.317,0.331,0.014,0.289,0.249,0.244,0.295,0.051,0.429,0.42,0.399,0.452,0.053,40.4,39.455,39.408,40.448,1.04,91.1,88.504,88.944,90.66,1.716,5.5,16.753,13.949,8.304,-5.645,11.3,21.89,22.155,11.165,-10.99,12.9,9.88,8.943,14.252,5.309,False,,,probable_starter,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T22:40:00Z,projected,projected,0,0
824247,2026-07-23,2026-07-23T22:40:00Z,Kansas City Royals @ Detroit Tigers,home,Troy Melton,Kansas City Royals,9,0.3,0.315,0.317,0.298,-0.019,0.215,0.242,0.244,0.213,-0.031,0.331,0.394,0.399,0.327,-0.072,35.9,41.714,39.408,38.001,-1.407,88.9,89.637,88.944,89.593,0.649,12.9,15.117,13.949,14.068,0.119,23.6,22.065,22.155,23.504,1.349,7.1,8.39,8.943,6.661,-2.282,False,,,probable_starter,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T22:40:00Z,projected,projected,0,0
824406,2026-07-23,2026-07-23T17:10:00Z,Minnesota Twins @ Cleveland Guardians,away,Taj Bradley,Cleveland Guardians,9,0.311,0.315,0.317,0.309,-0.008,0.228,0.242,0.244,0.226,-0.018,0.384,0.375,0.399,0.361,-0.038,45.3,35.011,39.408,40.246,0.838,91.3,88.165,88.944,90.521,1.577,16.9,17.144,13.949,20.095,6.146,27.2,20.258,22.155,24.871,2.716,9.4,9.991,8.943,10.502,1.559,False,,,probable_starter,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T17:10:00Z,posted,posted,9,9
824406,2026-07-23,2026-07-23T17:10:00Z,Minnesota Twins @ Cleveland Guardians,home,Gavin Williams,Minnesota Twins,9,0.32,0.318,0.317,0.321,0.004,0.242,0.24,0.244,0.238,-0.006,0.435,0.408,0.399,0.445,0.046,49.0,38.311,39.408,47.636,8.228,91.0,88.957,88.944,91.013,2.069,9.8,16.556,13.949,12.407,-1.542,29.9,20.258,22.155,27.34,5.185,7.6,9.127,8.943,7.756,-1.187,False,,,probable_starter,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T17:10:00Z,posted,posted,9,9
824893,2026-07-23,2026-07-23T16:15:00Z,San Diego Padres @ Atlanta Braves,away,Kyle Hart,Atlanta Braves,9,0.316,0.322,0.317,0.321,0.004,0.242,0.251,0.244,0.249,0.005,0.398,0.419,0.399,0.418,0.019,38.203,40.744,39.408,39.498,0.09,88.758,89.441,88.944,89.255,0.311,13.093,14.427,13.949,13.571,-0.378,21.9,20.329,22.155,20.095,-2.06,9.352,7.881,8.943,8.241,-0.702,True,reliever_spot_start,medium,team_staff,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T16:15:00Z,posted,posted,9,9
824893,2026-07-23,2026-07-23T16:15:00Z,San Diego Padres @ Atlanta Braves,home,Chris Sale,San Diego Padres,9,0.299,0.316,0.317,0.298,-0.019,0.228,0.233,0.244,0.218,-0.026,0.342,0.369,0.399,0.316,-0.083,32.7,38.051,39.408,31.574,-7.834,87.3,88.698,88.944,87.054,-1.89,11.8,10.894,13.949,8.745,-5.204,28.9,21.031,22.155,27.434,5.279,5.9,9.398,8.943,6.2,-2.743,False,,,probable_starter,xw+plat_consol_v5,2026-07-23T18:51:54.180445+00:00,2026-07-23T16:15:00Z,posted,posted,9,9
