game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml
822848,2026-09-06,Tampa Bay Rays @ Texas Rangers,away,Ian Seymour,L,Texas Rangers,9,5,4,0,4,0,166,False,True,0.6959994687915007,0.7146238141762313,0.7554900398406376,0.7208498089369073,0.7338370904910131,0.014779747755949146,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,-105.0,-115.0,0.5108342361863488,,
822848,2026-09-06,Tampa Bay Rays @ Texas Rangers,home,MacKenzie Gore,L,Tampa Bay Rays,9,5,3,1,4,0,168,False,True,0.6574377158034528,0.6905615941289305,0.7113962815405047,0.69814913622724,0.6875180411335597,-0.0315393016015042,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,-105.0,-115.0,0.5108342361863488,,
823091,2026-09-06,Athletics @ Seattle Mariners,away,Gage Jump,L,Seattle Mariners,9,4,4,1,5,0,105,False,True,0.6860114209827358,0.6891605651915171,0.7428459495351927,0.7408669292507958,0.7223210902876459,0.0032637475525819637,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,161.0,-196.0,0.6334637673980881,,
823091,2026-09-06,Athletics @ Seattle Mariners,home,Bryan Woo,R,Athletics,9,4,4,1,5,0,251,False,True,0.7068464807436918,0.7146315903983418,0.6598517928286852,0.6696159570487085,0.6611831447954221,-0.05787419793964188,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,161.0,-196.0,0.6334637673980881,,
823253,2026-09-06,New York Yankees @ San Diego Padres,away,Gerrit Cole,R,San Diego Padres,9,3,6,0,3,0,168,False,True,0.702744754316069,0.7029068991616649,0.685586454183267,0.6779710329734193,0.6721213159893504,-0.04693602674571351,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,-111.0,-108.0,0.49673031650536237,,
823253,2026-09-06,New York Yankees @ San Diego Padres,home,Michael King,R,New York Yankees,9,6,3,0,6,0,255,False,True,0.7344177954847279,0.7364394642737464,0.646445683930943,0.6543602390889859,0.6608964768430111,-0.05816086589205283,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,-111.0,-108.0,0.49673031650536237,,
823336,2026-09-06,Los Angeles Angels @ Pittsburgh Pirates,away,Walbert Ureña,R,Pittsburgh Pirates,9,3,4,2,5,0,232,False,True,0.7580385126162019,0.755552428040562,0.6068462151394423,0.621599014055957,0.6496142930630715,-0.06944304967199244,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,163.0,-198.0,0.6360260888682611,,
823336,2026-09-06,Los Angeles Angels @ Pittsburgh Pirates,home,Paul Skenes,R,Los Angeles Angels,9,3,6,0,3,0,255,False,True,0.6859166002656042,0.6898868876022137,0.6723758300132803,0.6727945548266302,0.652451441477051,-0.06660590125801291,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,163.0,-198.0,0.6360260888682611,,
823417,2026-09-06,Atlanta Braves @ Philadelphia Phillies,away,Tyler Mahle,R,Philadelphia Phillies,9,6,3,0,6,0,237,False,True,0.7634674634794157,0.7596229868807914,0.7103333333333333,0.6937557218269338,0.7214015928230699,0.0023442500880059836,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,-109.0,-110.0,0.5010897994768962,,
823417,2026-09-06,Atlanta Braves @ Philadelphia Phillies,home,Aaron Nola,R,Atlanta Braves,9,4,4,1,5,0,244,False,True,0.7500090305444888,0.7486257446413588,0.8144358565737052,0.8059107540492222,0.8342923861884821,0.11523504345341817,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,-109.0,-110.0,0.5010897994768962,,
823578,2026-09-06,San Francisco Giants @ New York Mets,away,Cesar Perdomo,L,New York Mets,9,5,3,1,4,0,7,True,False,0.6803694555112882,0.6947313125583635,0.8457500664010625,0.7068715455345295,0.7020390017172826,-0.017018341017781324,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,128.0,-155.0,0.5808678500986193,,
823578,2026-09-06,San Francisco Giants @ New York Mets,home,Christian Scott,R,San Francisco Giants,9,6,3,0,6,0,158,False,True,0.7396632138114211,0.7434973599334126,0.6795253652058432,0.689825777352632,0.704418047444574,-0.014639295290489907,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,128.0,-155.0,0.5808678500986193,,
823822,2026-09-06,Chicago Cubs @ Miami Marlins,away,Clay Holmes,R,Miami Marlins,9,5,4,0,5,0,129,False,True,0.7544074369189908,0.7515170926344608,0.5474031872509961,0.6022438816674647,0.6266916475156757,-0.0923656952193882,xw+plat_consol_v12,xwOBA,2026-09-06T07:24:59.832583+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-06T07:24:59.832583+00:00,-149.0,123.0,0.42837235708018645,,
