game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,starter_rate_primary,starter_rate_blend_in,starter_rate_blended,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,opp_xwOBA_sd,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,hybrid_price_source,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml,game_type
822842,2026-09-24,2026-09-24T18:35:00Z,New York Mets @ Texas Rangers,away,Zac Thornton,Texas Rangers,9,measured,318.0,0.3254638248626852,0.3137909283281153,True,0.3171363212129397,0.3249894420628733,0.00785312084993356,0.020948067773034637,0.31524371792035083,0.3249894420628733,0.3142187879260241,0.3229691002624035,0.008750312336379407,0.3185837303526514,0.32950400407626934,0.015285216150245251,0.266,0.24047675962815407,0.24270970058680089,0.26355278716275443,0.020843086575953546,0.45,0.406535192563081,0.3940179937422752,0.46429564019618597,0.07027764645391077,41.4,42.946666666666665,38.94589547876338,45.65287248227512,6.706977003511739,89.0,89.76926958831342,88.8200552295478,89.94921435876562,1.1291591292178111,15.1,15.121142098273571,14.005623169686105,16.215518928587464,2.209895758901359,18.6,23.48674634794157,22.119958580836954,19.74929023828145,-2.370668342555504,5.3,8.300159362549802,8.882010499535147,4.95280259168983,-3.929207907845317,0.310178262153579,5.581008861750155,5.75,0.6026381454076335,0.3973618545923665,0.3130582790064343,-0.0011605089195897977,10.0,1292.9359350327093,4.008403361344538,4.314353342819632,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-24T18:35:00Z,posted,posted,9,9,0,0,lean,FADE,TEX,2026-09-24T18:31:49.256856+00:00,saved_pregame,113.0,-136.0,0.551057677674631,0.551057677674631,-136.0,R
822842,2026-09-24,2026-09-24T18:35:00Z,New York Mets @ Texas Rangers,home,Kumar Rocker,New York Mets,9,measured,627.0,0.32610437247950813,0.33070372495344186,True,0.3275822618068691,0.3272661927497642,-0.0003160690571049063,0.027308782561031,0.31035331126997334,0.3272661927497642,0.3142187879260241,0.32338029101681987,0.009161503090795775,0.3273604024737261,0.3409534906608741,0.026734702734850013,0.254,0.2597620185922975,0.24270970058680089,0.2718455527855885,0.029135852198787587,0.417,0.41844807436918985,0.3940179937422752,0.4428550213016081,0.04883702755933289,40.2,42.627596281540505,38.94589547876338,44.00025598210587,5.054360503342487,89.2,89.84172642762285,88.8200552295478,90.22167119807504,1.4016159685272385,12.8,12.946533864541834,14.005623169686105,11.74091069485573,-2.2647124748303753,21.4,21.705763612217797,22.119958580836954,20.99928621493311,-1.1206723659038431,9.4,9.069003984063746,8.882010499535147,9.597898747660887,0.71588824812574,0.2917331495685379,4.625699299791016,4.5576923076923075,0.5226381543080988,0.4773618456919012,0.30414032722385254,-0.010078460702171554,9.0,1395.1029841761265,4.384615384615385,4.234936074396561,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-24T18:35:00Z,posted,posted,9,9,0,0,lean,FADE,TEX,2026-09-24T18:31:49.256856+00:00,saved_pregame,113.0,-136.0,0.551057677674631,0.551057677674631,-136.0,R
823087,2026-09-24,2026-09-25T01:40:00Z,Los Angeles Angels @ Seattle Mariners,away,Grayson Rodriguez,Seattle Mariners,9,measured,421.0,0.34878863491862266,0.3540376353956856,True,0.32167678430641755,0.3211535439345716,-0.0005232403718459788,0.01996705492477142,0.33494574209675043,0.3211535439345716,0.3142187879260241,0.3425523103065725,0.028333522380548426,0.35036948891440534,0.3581020848374502,0.04388329691142612,0.276,0.24360876494023906,0.24270970058680089,0.277022380897628,0.0343126803108271,0.468,0.39220079681274905,0.3940179937422752,0.46584160069711306,0.07182360695483786,45.1,39.1877556440903,38.94589547876338,45.380078126902795,6.434182648139412,90.2,88.87038512616202,88.8200552295478,90.25032989661422,1.4302746670664135,14.3,13.76714475431607,14.005623169686105,14.061521584629963,0.055898414943857944,19.7,21.78411686586985,22.119958580836954,19.400899901748296,-2.7190586790886577,9.0,10.17187250996016,8.882010499535147,10.306996664148583,1.4249861646134363,0.31288311242118483,5.2260791914467175,5.307017543859649,0.5885506079670219,0.41144939203297815,0.3203094064863023,0.006090618560278205,9.0,1135.0,4.494661921708184,4.351238079741493,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-25T01:40:00Z,projected,projected,0,0,0,0,lean,FOLLOW,SEA,2026-09-24T18:31:49.256856+00:00,saved_pregame,187.0,-231.0,0.6669919615280139,0.6669919615280139,-231.0,R
823087,2026-09-24,2026-09-25T01:40:00Z,Los Angeles Angels @ Seattle Mariners,home,Bryan Woo,Los Angeles Angels,9,measured,684.0,0.29570647805178873,0.2855033265831023,True,0.30807131692376366,0.3056444908945472,-0.0024268260292164556,0.026030894766827302,0.29521329626468945,0.3056444908945472,0.3142187879260241,0.28806061918931103,-0.02615816873671306,0.2895612560746967,0.2816598055128782,-0.032558982413145865,0.238,0.23142231075697214,0.24270970058680089,0.22693163819573622,-0.015778062391064662,0.384,0.3858871181938911,0.3940179937422752,0.37607585374229957,-0.017942139999975626,42.8,39.43803452855246,38.94589547876338,43.340841366517246,4.394945887753863,89.4,88.63253652058432,88.8200552295478,89.21248129103653,0.3924260614887203,16.4,14.08440903054449,14.005623169686105,16.478785860858387,2.4731626911722824,24.4,25.9935192563081,22.119958580836954,28.67283261567119,6.552874034834236,5.3,8.38339973439575,8.882010499535147,5.0024730993757425,-3.8795374001594043,0.3042701916776545,5.6489289983855535,5.834770114942529,0.6157410473089424,0.3842589526910576,0.2983173580086793,-0.015901429917344778,9.0,1519.0,4.079522862823062,4.29158527532402,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-25T01:40:00Z,projected,projected,0,0,0,0,lean,FOLLOW,SEA,2026-09-24T18:31:49.256856+00:00,saved_pregame,187.0,-231.0,0.6669919615280139,0.6669919615280139,-231.0,R
823326,2026-09-24,2026-09-24T16:35:00Z,St. Louis Cardinals @ Pittsburgh Pirates,away,Kyle Leahy,Pittsburgh Pirates,9,measured,587.0,0.33368395748559304,0.3254433887061895,True,0.316154240407544,0.3164639349626569,0.0003096945551129271,0.015133802610669723,0.3223004473722657,0.3164639349626569,0.3142187879260241,0.3244279869553237,0.01020919902929962,0.3285200268531424,0.33086735869040196,0.016648570764377868,0.272,0.24791288180610888,0.24270970058680089,0.2778311031171399,0.03512140253033899,0.445,0.39283134130146086,0.3940179937422752,0.44365980654551584,0.04964181280324065,47.0,38.174980079681276,38.94589547876338,46.06965744884165,7.12376197007827,91.1,88.820796812749,88.8200552295478,91.10074158320118,2.2806863536533797,9.8,11.272483399734396,14.005623169686105,7.06686023004829,-6.938762939637815,22.0,21.990863213811423,22.119958580836954,21.871604729087416,-0.24835385174953828,7.0,8.17285524568393,8.882010499535147,6.441107756265508,-2.440902743269639,0.3174234259673555,3.972798168874745,3.742816091954023,0.4395058860913808,0.5604941139086193,0.31937861763980796,0.00515982971378387,8.0,1725.8196721311474,4.257142857142857,4.29037017549074,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-24T16:35:00Z,posted,posted,9,9,0,0,lean,FOLLOW,PIT,2026-09-24T18:31:49.256856+00:00,saved_pregame,138.0,-167.0,0.5981699425097071,0.5981699425097071,-167.0,R
823326,2026-09-24,2026-09-24T16:35:00Z,St. Louis Cardinals @ Pittsburgh Pirates,home,Paul Skenes,St. Louis Cardinals,9,measured,689.0,0.28433698199315893,0.30032016228282915,True,0.32491888785197365,0.32453721454520074,-0.00038167330677291167,0.022461496454626813,0.2885721942784032,0.32453721454520074,0.3142187879260241,0.2981854629042777,-0.01603332502174637,0.29128492589524524,0.30085024232002244,-0.013368545606001647,0.217,0.2568996015936255,0.24270970058680089,0.2296867962468592,-0.013022904339941688,0.347,0.416932005312085,0.3940179937422752,0.3671796926561806,-0.026838301086094585,37.9,42.12756972111554,38.94589547876338,40.99623009826286,2.0503346194994805,87.9,89.82916334661354,88.8200552295478,88.90910811706574,0.08905288751793705,16.4,12.014422310756974,14.005623169686105,14.408799141070867,0.403175971384762,27.9,20.653333333333332,22.119958580836954,26.050139194166483,3.9301806133295294,6.8,8.325524568393094,8.882010499535147,6.373958583817931,-2.508051915717216,0.28444522188827115,5.506701484272064,5.657258064516129,0.6033846473361985,0.39661535266380155,0.2941314418554233,-0.02008734607060081,9.0,1467.7390957301404,4.084130019120459,4.23185384447289,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-24T16:35:00Z,posted,posted,9,9,0,0,lean,FOLLOW,PIT,2026-09-24T18:31:49.256856+00:00,saved_pregame,138.0,-167.0,0.5981699425097071,0.5981699425097071,-167.0,R
823411,2026-09-24,2026-09-24T22:05:00Z,Milwaukee Brewers @ Philadelphia Phillies,away,Shane Drohan,Philadelphia Phillies,9,measured,510.0,0.30400307998787274,0.3235747672805774,True,0.32277992630235397,0.3204726221854881,-0.0023073041168658603,0.026295835812684822,0.30112240526163414,0.3204726221854881,0.3142187879260241,0.3080833540000564,-0.006135433925967715,0.3127452773914763,0.3189697846628138,0.004750996736789692,0.232,0.2565118193891102,0.24270970058680089,0.24519309263038952,0.0024833920435886336,0.378,0.40115830013280207,0.3940179937422752,0.3848500318728707,-0.009167961869404495,38.3,38.90090305444887,38.94589547876338,38.25575374939868,-0.6901417293647043,88.6,89.21166002656041,88.8200552295478,88.99160479701258,0.17154956746477978,13.8,11.290677290836653,14.005623169686105,11.085054121150547,-2.920569048535558,23.7,18.981354581673305,22.119958580836954,20.337203704141658,-1.7827548766952965,8.2,8.934687915006641,8.882010499535147,8.248632548552926,-0.6333779509822204,0.28739978138696115,4.802037803163402,4.777777777777778,0.5414225814412313,0.45857741855876866,0.2952302148057292,-0.018988573120294894,8.0,1579.8046293789594,4.238227146814404,4.106270737581917,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-24T22:05:00Z,projected,posted,0,9,0,0,lean,FOLLOW,MIL,2026-09-24T18:31:49.256856+00:00,saved_pregame,113.0,-136.0,0.551057677674631,0.448942322325369,113.0,R
823411,2026-09-24,2026-09-24T22:05:00Z,Milwaukee Brewers @ Philadelphia Phillies,home,Andrew Painter,Milwaukee Brewers,9,measured,528.0,0.32328324648503565,0.3370678471992869,True,0.3226899278958263,0.3239326901800229,0.001242762284196619,0.0271717618541326,0.3127074824756456,0.3239326901800229,0.3142187879260241,0.3219159083050562,0.007697120379032085,0.32913190059941244,0.33930683358861435,0.025088045662590264,0.252,0.24842337317397079,0.24270970058680089,0.25793237719170553,0.015222676604904645,0.421,0.40454156706507305,0.3940179937422752,0.43224421838408683,0.038226224641811635,35.5,41.73561752988048,38.94589547876338,38.042890119670226,-0.9030053590931573,87.6,89.90177954847277,88.8200552295478,88.68172431892496,-0.13833091062284097,14.3,9.145922974767597,14.005623169686105,9.440299805081493,-4.5653233646046125,20.3,22.45171314741036,22.119958580836954,20.604458874858583,-1.515499705978371,8.3,10.411819389110226,8.882010499535147,9.729565275129735,0.8475547755945882,0.288307418332934,5.323037926763633,5.428030303030303,0.5976821453225587,0.4023178546774413,0.2960800041517221,-0.018138783774302003,9.0,1490.483870967742,4.375690607734807,4.263988664788849,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-24T22:05:00Z,projected,posted,0,9,0,0,lean,FOLLOW,MIL,2026-09-24T18:31:49.256856+00:00,saved_pregame,113.0,-136.0,0.551057677674631,0.448942322325369,113.0,R
823493,2026-09-24,2026-09-24T23:05:00Z,Tampa Bay Rays @ New York Yankees,away,Ian Seymour,New York Yankees,9,measured,534.0,0.2980313545624644,0.31689054896080787,True,0.3191664868840084,0.313154003484274,-0.00601248339973437,0.025047288006044208,0.3054679067349477,0.313154003484274,0.3142187879260241,0.30700793165045226,-0.007210856275571831,0.30641730551888735,0.30537895774295387,-0.008839830183070219,0.221,0.2443394422310757,0.24270970058680089,0.22248396583455024,-0.020225734752250646,0.402,0.4145553784860558,0.3940179937422752,0.4229534305491643,0.028935436806889092,37.3,41.39917662682603,38.94589547876338,39.64960284512226,0.7037073663588771,88.3,89.51030544488712,88.8200552295478,88.99025021533932,0.17019498579151104,20.5,14.479946879150068,14.005623169686105,20.974323709463967,6.968700539777862,29.0,23.97139442231076,22.119958580836954,31.427293848970166,9.307335268133212,6.7,8.836334661354583,8.882010499535147,6.6655451751801245,-2.2164653243550223,0.304270823449574,4.953380751688829,4.966666666666667,0.5576954508437463,0.4423045491562537,0.30906188144474683,-0.005156906481277257,9.0,1497.0078587956923,4.193717277486911,4.071297347594818,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-24T23:05:00Z,projected,projected,0,0,0,0,lean,FOLLOW,NYY,2026-09-24T18:31:49.256856+00:00,saved_pregame,129.0,-156.0,0.5825451699171612,0.5825451699171612,-156.0,R
823493,2026-09-24,2026-09-24T23:05:00Z,Tampa Bay Rays @ New York Yankees,home,Cam Schlittler,Tampa Bay Rays,9,measured,747.0,0.26816514615419407,0.25165479107574046,True,0.306462633952896,0.3071752501547552,0.0007126162018591953,0.03429773681184158,0.26934616926860805,0.3071752501547552,0.3142187879260241,0.26308619672217304,-0.05113259120385105,0.2588663223722184,0.25306356712841854,-0.06115522079760555,0.206,0.24460743691899076,0.24270970058680089,0.20761070481932098,-0.03509899576747991,0.327,0.36580424966799474,0.3940179937422752,0.30358509393272964,-0.09043289980954555,38.4,33.385258964143425,38.94589547876338,32.91730562267235,-6.028589856091031,88.4,87.71083665338647,88.8200552295478,87.29078142383865,-1.5292738057091526,13.3,13.013572377158034,14.005623169686105,12.30794920747193,-1.697673962214175,31.3,17.257397078353254,22.119958580836954,24.41941862497009,2.2994600441331343,6.3,8.798592297476759,8.882010499535147,6.240831563642562,-2.641178935892585,0.28985622436177,6.035872319174921,6.317708333333333,0.6618302665196241,0.33816973348037593,0.28270143415632654,-0.031517353769697554,7.0,1478.2614089499334,3.917832167832168,4.07640265629026,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-24T18:31:49.256856+00:00,2026-09-24T23:05:00Z,projected,projected,0,0,0,0,lean,FOLLOW,NYY,2026-09-24T18:31:49.256856+00:00,saved_pregame,129.0,-156.0,0.5825451699171612,0.5825451699171612,-156.0,R
