gamePk,date,away,home,venue,pythag_tag,pythag_basis,home_prior_games_all,away_prior_games_all,home_prior_games_split,away_prior_games_split,home_rs_hat,home_ra_hat,away_rs_hat,away_ra_hat,home_strength,away_strength,league_hfa_p,pythag_p_home,pythag_p_away,pythag_split_p_home,pythag_lean,pythag_lean_p,final_home_runs,final_away_runs,home_win,pythag_grade_fg,is_doubleheader_pair,pythag_split_basis
822784,2026-07-22,Tampa Bay Rays,Toronto Blue Jays,Rogers Centre,pythag_v1,pooled,101.0,100.0,54.0,50.0,4.266807361436517,4.542825460984028,4.531656485806684,4.395292849443047,0.47135379067995,0.5139745315860547,0.5255474452554745,0.48292057365075886,0.5170794263492411,0.4949894777533098,Tampa Bay Rays,0.5170794263492411,2.0,4.0,0.0,W,False,split
822873,2026-07-22,Chicago White Sox,Texas Rangers,Globe Life Field,pythag_v1,pooled,101.0,100.0,48.0,52.0,4.379929533382219,4.506626365961404,4.645292849443047,4.4543837585339565,0.486956796764967,0.5191898729897811,0.5255474452554745,0.4933246422668641,0.5066753577331359,0.5318109446065727,Chicago White Sox,0.5066753577331359,2.0,4.0,0.0,W,False,split
823110,2026-07-22,Cincinnati Reds,Seattle Mariners,T-Mobile Park,pythag_v1,pooled,102.0,100.0,52.0,50.0,4.3016415625111275,4.216055976925542,4.36802012217032,4.6634746676248655,0.5091931675744746,0.4700919317334115,0.5255474452554745,0.564348885442242,0.43565111455775796,0.5781185547665098,Seattle Mariners,0.564348885442242,3.0,5.0,0.0,L,False,split
823438,2026-07-22,Los Angeles Dodgers,Philadelphia Phillies,Citizens Bank Park,pythag_v1,pooled,102.0,102.0,51.0,52.0,4.441281202150767,4.490830751700317,4.8151550760246415,4.125965886835452,0.49492429721959313,0.5702023133716407,0.5255474452554745,0.44999242754418983,0.5500075724558102,0.4228366730212867,Los Angeles Dodgers,0.5500075724558102,5.0,9.0,0.0,W,False,split
823518,2026-07-22,Pittsburgh Pirates,New York Yankees,Yankee Stadium,pythag_v1,pooled,100.0,101.0,47.0,50.0,4.627111031261229,4.227111031261229,4.891241750576789,4.660472519807559,0.5412702584291198,0.5220962834540566,0.5255474452554745,0.5447037043456133,0.4552962956543867,0.5295076068984342,New York Yankees,0.5447037043456133,3.0,5.0,0.0,L,True,split
823519,2026-07-22,Pittsburgh Pirates,New York Yankees,Yankee Stadium,pythag_v1,pooled,100.0,101.0,47.0,50.0,4.627111031261229,4.227111031261229,4.891241750576789,4.660472519807559,0.5412702584291198,0.5220962834540566,0.5255474452554745,0.5447037043456133,0.4552962956543867,0.5295076068984342,New York Yankees,0.5447037043456133,2.0,0.0,1.0,W,True,split
823761,2026-07-22,New York Mets,Milwaukee Brewers,American Family Field,pythag_v1,pooled,101.0,102.0,52.0,53.0,4.764544917997604,4.1672598501243,4.319659580529146,4.6034433643129296,0.5609740861718943,0.47092304288116904,0.5255474452554745,0.6139233904339045,0.38607660956609546,0.626561979554145,Milwaukee Brewers,0.6139233904339045,4.0,3.0,1.0,W,False,split
824004,2026-07-22,St. Louis Cardinals,Los Angeles Angels,Angel Stadium,pythag_v1,pooled,102.0,100.0,51.0,48.0,4.436776697646263,4.6935334544030205,4.4998383039885015,4.504383758533956,0.47428487659227,0.4995380955677955,0.5255474452554745,0.5002937845817838,0.49970621541821625,0.46464320846450524,Los Angeles Angels,0.5002937845817838,0.0,1.0,0.0,L,False,split
824083,2026-07-22,San Francisco Giants,Kansas City Royals,Kauffman Stadium,pythag_v1,pooled,102.0,101.0,52.0,54.0,4.396236157105722,4.83317309404266,4.325630890848283,4.61069876415145,0.45675813322214204,0.4708348450934015,0.5255474452554745,0.5114158665773745,0.4885841334226255,0.5415176224018384,Kansas City Royals,0.5114158665773745,5.0,4.0,1.0,W,False,split
824166,2026-07-22,Miami Marlins,Houston Astros,Daikin Park,pythag_v1,pooled,103.0,102.0,52.0,51.0,4.533472766266684,4.748719403037985,4.495335256204822,4.432272193141759,0.47879080937772417,0.506463148024089,0.5255474452554745,0.49788429179982935,0.5021157082001706,0.5178014400699746,Miami Marlins,0.5021157082001706,5.0,2.0,1.0,L,False,split
824327,2026-07-22,Washington Nationals,Colorado Rockies,Coors Field,pythag_v1,pooled,103.0,102.0,52.0,51.0,4.65454899945054,5.0715893581949345,4.963803724673291,4.882722643592209,0.4608227489856909,0.5075341544699333,0.5255474452554745,0.47879000046427406,0.521209999535726,0.4399129838563626,Washington Nationals,0.521209999535726,0.0,8.0,0.0,W,False,split
824408,2026-07-22,Minnesota Twins,Cleveland Guardians,Progressive Field,pythag_v1,pooled,102.0,102.0,51.0,51.0,4.292632553502119,4.292632553502119,4.630470391339957,4.792632553502119,0.5,0.48425741695679003,0.5255474452554745,0.5412237104330802,0.45877628956691985,0.5558589595181304,Cleveland Guardians,0.5412237104330802,6.0,10.0,0.0,L,False,split
824650,2026-07-22,Detroit Tigers,Chicago Cubs,Wrigley Field,pythag_v1,pooled,101.0,101.0,51.0,51.0,4.805268899898056,4.49305170532792,4.393504194015703,4.284906908947829,0.5306965920472067,0.5114484475839178,0.5255474452554745,0.5447345700413029,0.4552654299586971,0.5643524191039261,Chicago Cubs,0.5447345700413029,1.0,5.0,0.0,L,False,split
824732,2026-07-22,Baltimore Orioles,Boston Red Sox,Fenway Park,pythag_v1,pooled,99.0,101.0,49.0,48.0,4.3925316295774905,4.182485967477033,4.556400121617513,4.619748537907106,0.5224024650168672,0.4936834460555871,0.5255474452554745,0.554091560135657,0.44590843986434303,0.5438991006108673,Boston Red Sox,0.554091560135657,1.0,5.0,0.0,L,True,split
824735,2026-07-22,Baltimore Orioles,Boston Red Sox,Fenway Park,pythag_v1,pooled,99.0,101.0,49.0,48.0,4.3925316295774905,4.182485967477033,4.556400121617513,4.619748537907106,0.5224024650168672,0.4936834460555871,0.5255474452554745,0.554091560135657,0.44590843986434303,0.5438991006108673,Boston Red Sox,0.554091560135657,6.0,3.0,1.0,W,True,split
824896,2026-07-22,San Diego Padres,Atlanta Braves,Truist Park,pythag_v1,pooled,100.0,101.0,50.0,50.0,4.71802012217032,4.2452928494430475,4.334680664603939,4.461377497183124,0.5481524377957293,0.48682264588937807,0.5255474452554745,0.5861832042361854,0.4138167957638146,0.5757593088870788,Atlanta Braves,0.5861832042361854,7.0,6.0,1.0,W,False,split
