gamePk,date,away,home,venue,pythag_tag,pythag_basis,home_prior_games_all,away_prior_games_all,home_prior_games_split,away_prior_games_split,home_rs_hat,home_ra_hat,away_rs_hat,away_ra_hat,home_strength,away_strength,league_hfa_p,pythag_p_home,pythag_p_away,pythag_split_p_home,pythag_lean,pythag_lean_p,final_home_runs,final_away_runs,home_win,pythag_grade_fg,is_doubleheader_pair,pythag_split_basis
823244,2026-03-25,New York Yankees,San Francisco Giants,Oracle Park,pythag_v1,league,0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,0.5,0.5,0.53,0.53,0.47,0.53,San Francisco Giants,0.53,0.0,7.0,0.0,L,False,league
823081,2026-03-26,Tampa Bay Rays,St. Louis Cardinals,Busch Stadium,pythag_v1,league,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.5,0.5,0.5286783042394015,0.5286783042394015,0.47132169576059846,0.5286783042394015,St. Louis Cardinals,0.5286783042394015,9.0,7.0,1.0,W,False,league
823163,2026-03-26,Cleveland Guardians,Seattle Mariners,T-Mobile Park,pythag_v1,league,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.5,0.5,0.5286783042394015,0.5286783042394015,0.47132169576059846,0.5286783042394015,Seattle Mariners,0.5286783042394015,4.0,6.0,0.0,L,False,league
823325,2026-03-26,Detroit Tigers,San Diego Padres,Petco Park,pythag_v1,league,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.5,0.5,0.5286783042394015,0.5286783042394015,0.47132169576059846,0.5286783042394015,San Diego Padres,0.5286783042394015,2.0,8.0,0.0,L,False,league
823486,2026-03-26,Texas Rangers,Philadelphia Phillies,Citizens Bank Park,pythag_v1,league,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.5,0.5,0.5286783042394015,0.5286783042394015,0.47132169576059846,0.5286783042394015,Philadelphia Phillies,0.5286783042394015,5.0,3.0,1.0,W,False,league
823649,2026-03-26,Pittsburgh Pirates,New York Mets,Citi Field,pythag_v1,league,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.5,0.5,0.5286783042394015,0.5286783042394015,0.47132169576059846,0.5286783042394015,New York Mets,0.5286783042394015,11.0,7.0,1.0,W,False,league
823812,2026-03-26,Chicago White Sox,Milwaukee Brewers,American Family Field,pythag_v1,league,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.5,0.5,0.5286783042394015,0.5286783042394015,0.47132169576059846,0.5286783042394015,Milwaukee Brewers,0.5286783042394015,14.0,2.0,1.0,W,False,league
823974,2026-03-26,Arizona Diamondbacks,Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,pythag_v1,league,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.5,0.5,0.5286783042394015,0.5286783042394015,0.47132169576059846,0.5286783042394015,Los Angeles Dodgers,0.5286783042394015,8.0,2.0,1.0,W,False,league
824218,2026-03-26,Los Angeles Angels,Houston Astros,Daikin Park,pythag_v1,league,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.5,0.5,0.5286783042394015,0.5286783042394015,0.47132169576059846,0.5286783042394015,Houston Astros,0.5286783042394015,0.0,3.0,0.0,L,False,league
824541,2026-03-26,Boston Red Sox,Cincinnati Reds,Great American Ball Park,pythag_v1,league,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.5,0.5,0.5286783042394015,0.5286783042394015,0.47132169576059846,0.5286783042394015,Cincinnati Reds,0.5286783042394015,0.0,3.0,0.0,L,False,league
