game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822858,2026-08-22,Los Angeles Angels @ Texas Rangers,away,Ryan Johnson,R,Texas Rangers,9,5,4,0,5,1,125,False,True,0.7170438247011952,0.7210251429225081,0.802780876494024,0.784132466540848,0.7819336280146345,0.06297160948179492,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,1,0
822858,2026-08-22,Los Angeles Angels @ Texas Rangers,home,Cody Bradford,L,Los Angeles Angels,9,2,6,1,7,2,26,True,False,0.6617484727755644,0.6994504147282483,0.7564138114209827,0.7318667004578879,0.712522575076239,-0.006439443456600635,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,1,0
823100,2026-08-22,Chicago Cubs @ Seattle Mariners,away,David Peterson,L,Seattle Mariners,9,3,4,2,6,0,161,False,True,0.6715572377158036,0.6909462729676069,0.7494143426294821,0.7536327584269766,0.7331009909932988,0.014138972460459254,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,0,0
823100,2026-08-22,Chicago Cubs @ Seattle Mariners,home,Kade Anderson,L,Chicago Cubs,9,2,5,2,7,2,6,True,False,0.8157750332005312,0.7801911277504047,0.9069043824701196,0.7442158936453841,0.8117748789216968,0.09281286038885717,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,0,0
823261,2026-08-22,Minnesota Twins @ San Diego Padres,away,Dean Kremer,R,San Diego Padres,9,3,5,1,4,0,98,False,True,0.7442804780876494,0.7341791635415524,0.7602114209827358,0.6994006832169719,0.713904012201281,-0.005058006331558618,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,0,0
823261,2026-08-22,Minnesota Twins @ San Diego Padres,home,Casey Mize,R,Minnesota Twins,9,2,5,2,4,0,182,False,True,0.7756826029216468,0.7657154484954867,0.6796812749003985,0.7203211994124712,0.7709827258215268,0.05202070728868724,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,0,0
823422,2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,away,Quinn Mathews,L,Philadelphia Phillies,9,6,3,0,3,1,12,True,False,0.7360216104203671,0.7221850719961866,0.6839601593625497,0.7130751499302537,0.7452570800038225,0.026295061470982928,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,0,1
823422,2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,home,Andrew Painter,R,St. Louis Cardinals,9,5,4,0,5,1,161,False,True,0.6632799468791502,0.72287823652709,0.8134061088977423,0.8019968019759365,0.8016860081019976,0.08272398956915805,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,0,1
823509,2026-08-22,Toronto Blue Jays @ New York Yankees,away,Dylan Cease,R,New York Yankees,9,6,3,0,6,0,248,False,True,0.7309030544488712,0.7322850435649064,0.5307261620185924,0.552467192244442,0.5549187988031182,-0.16404321972972136,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,0,0
823509,2026-08-22,Toronto Blue Jays @ New York Yankees,home,Ryan Weathers,L,Toronto Blue Jays,9,2,7,0,7,2,135,False,True,0.7777673306772908,0.7248923675537366,0.6959729083665339,0.6949706775631757,0.7031182663475238,-0.01584375218531575,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,posted,posted,9,9,0,0
