game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,hybrid_price_source,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml
822843,2026-09-19,Toronto Blue Jays @ Texas Rangers,away,José Soriano,R,Texas Rangers,9,3,6,0,3,0,308,False,True,0.6986956175298806,0.7134564621671747,0.6298743691899071,0.6582693355949496,0.6573903898253305,-0.06261772126304455,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,-106.0,-114.0,0.5086640097036909,,
822843,2026-09-19,Toronto Blue Jays @ Texas Rangers,home,Cal Quantrill,R,Toronto Blue Jays,9,3,6,0,3,0,198,False,True,0.7383370517928287,0.7297973922655726,0.5884470119521914,0.6176961730095233,0.6321340742537825,-0.0878740368345925,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,-106.0,-114.0,0.5086640097036909,,
822921,2026-09-19,Boston Red Sox @ Tampa Bay Rays,away,Brayan Bello,R,Tampa Bay Rays,9,7,2,0,7,0,213,False,True,0.7692262948207171,0.7687865744407256,0.7528233731739709,0.7478387611979346,0.7827833292061218,0.06277521811774678,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,125.0,-151.0,0.5751163774862462,,
822921,2026-09-19,Boston Red Sox @ Tampa Bay Rays,home,Freddy Peralta,R,Boston Red Sox,9,2,4,3,5,1,259,False,True,0.7354438247011953,0.7303841515883258,0.7347569721115538,0.7114509033245684,0.7172999087400788,-0.0027082023482962736,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,125.0,-151.0,0.5751163774862462,,
823003,2026-09-19,Washington Nationals @ St. Louis Cardinals,away,Andrew Alvarez,L,St. Louis Cardinals,9,2,6,1,7,1,117,False,True,0.7318884462151394,0.7230902625618382,0.6314974767596282,0.6395634501185775,0.6432598429125608,-0.07674826817581426,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,-104.0,-115.0,0.5120034919249236,,
823003,2026-09-19,Washington Nationals @ St. Louis Cardinals,home,Michael McGreevy,R,Washington Nationals,9,6,3,0,6,0,249,False,True,0.7178695883134131,0.7270731546622574,0.729,0.7316235597755932,0.7305304448154015,0.01052233372702649,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,-104.0,-115.0,0.5120034919249236,,
823249,2026-09-19,Miami Marlins @ San Diego Padres,away,Eury Pérez,R,San Diego Padres,9,3,6,0,3,0,281,False,True,0.7164443559096947,0.7324288722692648,0.7464462151394422,0.7275926707518098,0.7498021629291071,0.029794051840732028,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,130.0,-158.0,0.5848084969423882,,
823249,2026-09-19,Miami Marlins @ San Diego Padres,home,Casey Mize,R,Miami Marlins,9,3,5,1,4,2,231,False,True,0.6737471447543162,0.7324717924787095,0.7372626826029216,0.7669333458634525,0.7805782856323381,0.06057017454396307,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,130.0,-158.0,0.5848084969423882,,
823330,2026-09-19,Kansas City Royals @ Pittsburgh Pirates,away,Noah Cameron,L,Pittsburgh Pirates,9,3,5,1,6,0,172,False,True,0.721051261620186,0.7297446667230244,0.6908759628154051,0.6807323362795696,0.6982010833455965,-0.02180702774277854,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,-101.0,-119.0,0.5195490681610843,,
823330,2026-09-19,Kansas City Royals @ Pittsburgh Pirates,home,Bubba Chandler,R,Kansas City Royals,9,4,5,0,4,0,287,False,True,0.757008764940239,0.7461749371657077,0.6853160690571048,0.693533582175757,0.7203675937552559,0.0003594826668809059,xw+starter_blend_v13,xwOBA,2026-09-20T05:19:56.465591+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T05:19:56.465591+00:00,saved_pregame,-101.0,-119.0,0.5195490681610843,,
