season,player_id,player_name,role,pa,woba
2023,408234,"Cabrera, Miguel",BAT,370.0,0.299
2023,425794,"Wainwright, Adam",BAT,2.0,0.0
2023,443558,"Cruz, Nelson",BAT,152.0,0.291
2023,444482,"Peralta, David",BAT,422.0,0.29
2023,444489,"Piña, Manny",BAT,12.0,0.314
2023,446334,"Longoria, Evan",BAT,237.0,0.308
2023,453568,"Blackmon, Charlie",BAT,413.0,0.35
2023,455117,"Maldonado, Martín",BAT,407.0,0.266
2023,456781,"Solano, Donovan",BAT,450.0,0.338
2023,457705,"McCutchen, Andrew",BAT,473.0,0.345
2023,457759,"Turner, Justin",BAT,626.0,0.346
2023,458015,"Votto, Joey",BAT,242.0,0.326
2023,462101,"Andrus, Elvis",BAT,406.0,0.29
2023,467793,"Santana, Carlos",BAT,619.0,0.323
2023,474832,"Belt, Brandon",BAT,404.0,0.369
2023,488726,"Brantley, Michael",BAT,57.0,0.309
2023,493329,"Gurriel, Yuli",BAT,329.0,0.287
2023,500743,"Rojas, Miguel",BAT,423.0,0.271
2023,500871,"Escobar, Eduardo",BAT,309.0,0.267
2023,501303,"Adrianza, Ehire",BAT,11.0,0.063
2023,501659,"Almonte, Abraham",BAT,16.0,0.121
2023,502054,"Pham, Tommy",BAT,481.0,0.332
2023,502110,"Martinez, J.D.",BAT,479.0,0.369
2023,502671,"Goldschmidt, Paul",BAT,687.0,0.35
2023,506702,"León, Sandy",BAT,44.0,0.173
2023,514888,"Altuve, Jose",BAT,410.0,0.393
2023,516416,"Segura, Jean",BAT,326.0,0.25
2023,516782,"Marte, Starling",BAT,341.0,0.278
2023,518586,"Culberson, Charlie",BAT,1.0,0.883
2023,518595,"d'Arnaud, Travis",BAT,292.0,0.297
2023,518626,"Donaldson, Josh",BAT,189.0,0.284
2023,518692,"Freeman, Freddie",BAT,730.0,0.411
2023,518735,"Grandal, Yasmani",BAT,405.0,0.288
2023,518792,"Heyward, Jason",BAT,377.0,0.348
2023,518934,"LeMahieu, DJ",BAT,562.0,0.315
2023,519058,"Moustakas, Mike",BAT,386.0,0.294
2023,519203,"Rizzo, Anthony",BAT,421.0,0.312
